year,location,type,total,0-14,15-20,21-30,31-40,41-50,51-60,61-64,65-70,71-
2013,gwangjingu,died,10,0,0,1,1,4,1,1,2,0
2013,gwangjingu,injured,1916,95,121,410,369,345,364,76,80,56
2013,dongdaemungu,died,16,0,3,1,1,0,4,0,4,3
2013,dongdaemungu,injured,2524,80,190,488,447,464,465,114,125,151
2013,junglanggu,died,9,1,0,2,1,0,3,0,0,2
2013,junglanggu,injured,2369,121,194,347,417,495,454,96,108,137
2013,sungbukgu,died,9,1,0,0,1,1,0,0,0,6
2013,sungbukgu,injured,2149,86,155,405,380,429,379,107,106,102
2013,gangbukgu,died,10,0,0,0,0,1,2,0,1,6
2013,gangbukgu,injured,1525,59,131,262,265,271,298,68,78,93
2013,dobonggu,died,8,0,0,0,0,1,1,0,0,6
2013,dobonggu,injured,1259,64,136,159,222,230,267,46,67,68
